frame,time_s,rx,ry,gx,gy
0,0.0,480,409,922,1173
1,0.016661735700197237,481,410,923,1175
2,0.033323471400394475,481,409,924,1175
3,0.04998520710059172,481,407,924,1174
4,0.06664694280078895,482,405,925,1173
5,0.0833086785009862,482,404,924,1173
6,0.09997041420118344,482,403,924,1173
7,0.11663214990138067,482,403,923,1173
8,0.1332938856015779,481,403,922,1173
9,0.14995562130177514,481,405,921,1174
10,0.1666173570019724,480,405,921,1174
11,0.18327909270216963,480,405,921,1174
12,0.19994082840236688,480,406,922,1174
13,0.2166025641025641,479,406,922,1173
14,0.23326429980276134,479,407,922,1173
15,0.24992603550295858,478,408,921,1173
16,0.2665877712031558,477,410,920,1174
17,0.28324950690335304,477,411,918,1174
18,0.2999112426035503,476,412,916,1175
19,0.31657297830374753,474,413,915,1176
20,0.3332347140039448,473,414,913,1176
21,0.349896449704142,472,414,911,1177
22,0.36655818540433927,471,415,910,1177
23,0.3832199211045365,470,416,908,1178
24,0.39988165680473375,469,416,906,1178
25,0.416543392504931,468,417,904,1179
26,0.4332051282051282,468,418,902,1179
27,0.44986686390532543,467,419,900,1180
28,0.4665285996055227,466,420,898,1181
29,0.4831903353057199,466,420,897,1182
30,0.49985207100591716,465,421,895,1182
31,0.5165138067061144,464,421,894,1183
32,0.5331755424063116,464,422,893,1183
33,0.5498372781065088,463,422,891,1183
34,0.5664990138067061,463,423,889,1184
35,0.5831607495069033,465,425,886,1185
36,0.5998224852071006,467,425,881,1187
37,0.6164842209072978,469,424,874,1190
38,0.6331459566074951,473,421,865,1194
39,0.6498076923076923,478,417,853,1199
40,0.6664694280078896,483,411,835,1207
41,0.6831311637080868,487,406,816,1217
42,0.699792899408284,490,400,793,1230
43,0.7164546351084813,488,388,765,1247
44,0.7331163708086785,488,380,735,1268
45,0.7497781065088758,488,372,703,1294
46,0.766439842209073,488,365,669,1327
47,0.7831015779092703,490,361,636,1365
48,0.7997633136094675,489,354,603,1410
49,0.8164250493096648,488,350,571,1466
50,0.833086785009862,487,348,541,1530
51,0.8497485207100591,485,347,518,1602
52,0.8664102564102564,483,348,504,1694
53,0.8830719921104536,482,353,507,1794
54,0.8997337278106509,480,361,525,1897
55,0.9163954635108481,476,370,575,2021
56,0.9330571992110454,471,382,639,2114
57,0.9497189349112426,466,399,738,2208
58,0.9663806706114398,461,421,859,2277
59,0.9830424063116371,454,447,975,2315
60,0.9997041420118343,444,479,1098,2327
